ind,description
922,Administration of human resources programs
930,Administration of environmental quality and housing programs
931,Administration of economic programs
932,National security and international affairs
940,Army
941,Air Force
942,Navy
950,Marines
951,Coast Guard
952,"Armed Forces, branch not specified"
960,Military Reserves or National Guard
992,Last worked 1984 or earlier
999,DID NOT RESPOND
